제목,작가,별점,조회수
블랙홀괴담,아폴로,9.63,19만
덤덤씨 이야기,최덤덤,9.27,1.2만
우당탕탕 콩삼이,콩삼이,9.66,15만
진<zin>,나련수,8.44,"5,816"
아빠는 N살,유영근,9.90,"4,956만"
산군대잔치,다영좍가,9.87,464만
꽈따와 구갈이,똘정 X 르지,9.62,12만
타임머신 만들기,자드나인,9.49,3.7만
집에서 뽀짝뽀짝,그랑,9.67,16만
나태한 마왕은 신과 싸우기로 결심한다.,백창훈,9.87,150만
꿈꾸는 학회의 소문,이꼬,8.07,"1,602"
영오,성락,9.14,3.5만
하임의 서재,star****,9.88,27만
카페 타이쿤,정딱,9.67,149만
낯가리는 관종,시논,9.82,810만
내일은 낯선 행성을 걷는다,헌다캉,9.70,12만
나나의 러브장,정오목,9.51,13만
무선혜드셋 정보툰!!,무선혜드셋,9.87,135만
다이브,your****,8.61,2.6만
우리 아파트에 무슨 일이 있었던 걸까,reym****,9.12,20만
행복고양이,안정원,8.79,"3,676"
두 예술가들,검꼬,9.62,2.9만
가족입니다.,오로로싸싸,9.45,286만
"고지경, 너만 모르지",achi****,9.19,2.1만
오디네리 피플,안카,9.51,27만
초혼,팀 해빙,8.84,2.9만
무림사짜,귀현,9.01,"7,494"
꽃거지가 모델을 너무 잘함,모미,9.19,4.2만
견생＆묘생,grea****,8.73,10만
조금 수상한 연애시뮬레이션,초록이슬,9.80,12만
블랙홀괴담,아폴로,9.63,19만
덤덤씨 이야기,최덤덤,9.27,1.2만
우당탕탕 콩삼이,콩삼이,9.66,15만
진<zin>,나련수,8.44,"5,816"
아빠는 N살,유영근,9.90,"4,956만"
산군대잔치,다영좍가,9.87,464만
꽈따와 구갈이,똘정 X 르지,9.62,12만
타임머신 만들기,자드나인,9.49,3.7만
집에서 뽀짝뽀짝,그랑,9.67,16만
나태한 마왕은 신과 싸우기로 결심한다.,백창훈,9.87,150만
꿈꾸는 학회의 소문,이꼬,8.07,"1,602"
영오,성락,9.14,3.5만
하임의 서재,star****,9.88,27만
카페 타이쿤,정딱,9.67,149만
낯가리는 관종,시논,9.82,810만
내일은 낯선 행성을 걷는다,헌다캉,9.70,12만
나나의 러브장,정오목,9.51,13만
무선혜드셋 정보툰!!,무선혜드셋,9.87,135만
다이브,your****,8.61,2.6만
우리 아파트에 무슨 일이 있었던 걸까,reym****,9.12,20만
행복고양이,안정원,8.79,"3,676"
두 예술가들,검꼬,9.62,2.9만
가족입니다.,오로로싸싸,9.45,286만
"고지경, 너만 모르지",achi****,9.19,2.1만
오디네리 피플,안카,9.51,27만
초혼,팀 해빙,8.84,2.9만
무림사짜,귀현,9.01,"7,498"
꽃거지가 모델을 너무 잘함,모미,9.19,4.2만
견생＆묘생,grea****,8.73,10만
