,section,title
0,국제,"""드론항모 건조 시작?""…中 초대형 군용 도크 완공 주목"
1,IT,"[레디!퓨전] 영국, 핵융합 야심작 '스텝' 개발 착수…무한동력 꿈꾼다"
2,사회,정권 바뀔 때마다 해임 되풀이…‘15년 사이 4명’  KBS 사장 흑역사
3,문화,"‘이 기분’ 때문에 혈당 올라.. 당뇨 위험에 스트레스, 왜?"
4,문화,'감기 바이러스' 표면에서 7일 이상 살아...어떻게 막을까
5,국제,홍콩서 톈안먼 민주화 시위 기리려던 중국 학생 징역 6개월
6,사회,"노벨상 우크라 CCL대표 ""북러, '민주주의는 거짓' 선전"""
7,국제,"호주, 기준금리 석 달째 동결해도 소비자신뢰도는 여전히 '침체'"
8,문화,내일과 모레 전국에 가을비…서쪽부터 내리고 그쳐
9,국제,"한 해 3천억 수입 中 쇼호스트, 시청자 공격 발언으로 여론 뭇매"
10,정치,"이재명 檢소환에 민주 ""李 못 내준다""…체포안 내홍 격화하나"
11,국제,유령도시 상하이? 中 경기침체 조작론으로 번진 사진 3장
12,사회,5개월간 포인트 쌓았는데 '교환 불가'…앱테크 앱 사용자 '분통'
13,경제,'밧데리 아저씨' 믿은 개미 날벼락…외인 '팔자'에 2차전지 털썩
14,사회,103세 김형석 교수 “내 나이 될 때까지 행복한 인생 살아주길”
15,국제,"푸틴 ""중·러 관계 역사적 수준…무역액 곧 2000억 달러"""
16,국제,"美 합참의장 ""푸틴, 주석잔 손에 들고 北에 탄약 지원 요청"""
17,국제,“극도로 위험한 미션”…허리케인 '리' 심장에 닿은 美 공군
18,사회,"환경단체 ""환경부가 일회용컵 규제권한 자진 반납"" 비판"
19,경제,"멕시코로 밀려드는 투자…""中, 더는 美 최대 무역파트너 아냐"""
