,topic,url,section
0,"이종섭 국방, 예정없던 일정 소화",https://n.news.naver.com/mnews/hotissue/article/277/0005313211?type=series&cid=1064715,정치
1,이종섭 장관 사의표명… 속내는,https://n.news.naver.com/mnews/hotissue/article/277/0005313017?type=series&cid=1064715,정치
2,"북·러 정상회담, 유력 장소는?",https://n.news.naver.com/mnews/hotissue/article/277/0005312900?type=series&cid=1064715,정치
3,정권마다 달라지는 사관생도 교육,https://n.news.naver.com/mnews/hotissue/article/277/0005312881?type=series&cid=1064715,정치
4,“미국 장기채 ETF 지금 사세요” 모건스탠리 의견 뜯어보니,https://n.news.naver.com/mnews/hotissue/article/009/0005185798?type=series&cid=1089388,경제
5,테슬라 ‘슈퍼컴 도조’에 주가 10% 급등…“기업가치 663조 올려줄것”,https://n.news.naver.com/mnews/hotissue/article/009/0005185246?type=series&cid=1089388,경제
6,뉴욕증시 부진은 고유가와 고달러 탓…9월은 역시 9월?,https://n.news.naver.com/mnews/hotissue/article/009/0005184244?type=series&cid=1089388,경제
7,윌리엄스 뉴욕연은총재가 “인플레 옳은 방향” 자신하는 이유는,https://n.news.naver.com/mnews/hotissue/article/009/0005183801?type=series&cid=1089388,경제
8,뜬금없이 '공산주의 타도' 외치는 그들에게 <오펜하이머>를 권유한다,https://n.news.naver.com/mnews/hotissue/article/002/0002300077?type=series&cid=2000319,사회
9,"마을대학, 고흥의 작지만 큰 실험",https://n.news.naver.com/mnews/hotissue/article/002/0002299182?type=series&cid=2000319,사회
10,"'눈 떠보니 후진국' 대한민국, 사회적 신뢰가 무너지고 있다",https://n.news.naver.com/mnews/hotissue/article/002/0002298258?type=series&cid=2000319,사회
11,'헬조선' 시대가 돌아오고 있다,https://n.news.naver.com/mnews/hotissue/article/002/0002297399?type=series&cid=2000319,사회
12,전설의 원조 걸그룹 떴다!…뮤지컬 '시스터즈',https://n.news.naver.com/mnews/hotissue/article/003/0012083057?type=series&cid=1088764,생활/문화
13,고독을 넘어 삶을 보듬다…데뷔 60년 손숙의 '토카타',https://n.news.naver.com/mnews/hotissue/article/003/0012052589?type=series&cid=1088764,생활/문화
14,"째깍째깍, 심장 쫄깃해지는 그 소리.…연극 '2시22분'",https://n.news.naver.com/mnews/hotissue/article/003/0012039710?type=series&cid=1088764,생활/문화
15,프로이트로 환생한 듯…87세 신구의 '라스트 세션',https://n.news.naver.com/mnews/hotissue/article/003/0012014950?type=series&cid=1088764,생활/문화
16,맛있게 먹고 일주일에 3kg 감량?…꿈이 아니다,https://n.news.naver.com/mnews/hotissue/article/145/0000019541?type=series&cid=2000472,생활/문화
17,‘우리 아이 꿈이 유튜버래요’ 내가 몰랐던 내 아이의 SNS,https://n.news.naver.com/mnews/hotissue/article/145/0000019385?type=series&cid=2000472,생활/문화
18,힘겨운 시대를 살아가는 당신에게 건네는 위로,https://n.news.naver.com/mnews/hotissue/article/145/0000019244?type=series&cid=2000472,생활/문화
19,"유기견 아이돌 스타 탄생, 그 엄청난 비하인드 스토리",https://n.news.naver.com/mnews/hotissue/article/145/0000019176?type=series&cid=2000472,생활/문화
20,'비트코인 연관 검색어'된 페이팔,https://n.news.naver.com/mnews/hotissue/article/014/0005071440?type=series&cid=1087797,IT/과학
21,"""국내 은행·증권사, '코인 산업' 진출에 눈독""",https://n.news.naver.com/mnews/hotissue/article/014/0005071419?type=series&cid=1087797,IT/과학
22,"'블록체인' 때문에 韓 찾은 델 피에로, 코인에 투자할까",https://n.news.naver.com/mnews/hotissue/article/014/0005070721?type=series&cid=1087797,IT/과학
23,비트코인 횡보세인데...'코인 ETF' 열풍은 계속,https://n.news.naver.com/mnews/hotissue/article/014/0005070655?type=series&cid=1087797,IT/과학
24,"""한국도 곧?""…틱톡샵, 미국서 정식 서비스 시작",https://n.news.naver.com/mnews/hotissue/article/008/0004937608?type=series&cid=2001161,IT/과학
25,"""자체 개발 쉽지 않네""...애플, 퀄컴 5G 모뎀칩 공급 3년 더 연장",https://n.news.naver.com/mnews/hotissue/article/008/0004937043?type=series&cid=2001161,IT/과학
26,유럽 가면 '왓츠앱'에서 카톡 볼 수 있게 되나,https://n.news.naver.com/mnews/hotissue/article/008/0004936499?type=series&cid=2001161,IT/과학
27,"""사용료 못 내""…페북, 캐나다 이어 유럽에서도 뉴스 끊는다",https://n.news.naver.com/mnews/hotissue/article/008/0004934549?type=series&cid=2001161,IT/과학
28,Crypto platform sees future in IP content,https://n.news.naver.com/mnews/hotissue/article/044/0000249950?type=series&cid=1088066,세계
29,OECD competition chief touts Korea's antitrust fight against Google,https://n.news.naver.com/mnews/hotissue/article/044/0000249910?type=series&cid=1088066,세계
30,"'AI success hinges on local nuances and governance, not just silicon'",https://n.news.naver.com/mnews/hotissue/article/044/0000249902?type=series&cid=1088066,세계
31,Cravity says 'follow your gravity' in 'Sun Seeker',https://n.news.naver.com/mnews/hotissue/article/044/0000249894?type=series&cid=1088066,세계
